"Year","est","se","CV","lo","hi","relSSB"
1980,57878.6210531647,1.08893533689081,0.0853553179250003,48977.3642261839,68397.6124061188,2.37240665828704
1981,52831.9314864889,1.09148313899892,0.087705412960439,44502.5069222489,62720.3539223,2.16554616796382
1982,41963.7589681961,1.08668312453885,0.0832738786111328,35654.4675637588,49389.520782826,1.72006691540654
1983,35076.1349466353,1.08312723858705,0.0799799105887198,29994.4708742711,41018.7346845293,1.43774773103068
1984,23413.1010653655,1.07800146287428,0.0752148826541017,20208.132845965,27126.3706387637,0.959687633324904
1985,17699.29110563,1.08189449110103,0.0788357446795257,15168.920702934,20651.7597248195,0.725482316300989
1986,12426.9613524757,1.08818231477761,0.084659812253331,10530.0639615583,14665.5679414383,0.509372982950101
1987,10856.6164927817,1.08403171809694,0.0808186679181467,9268.58547252021,12716.7324529501,0.445005578662381
1988,9270.38600935719,1.08793899148573,0.0844349843668435,7858.76376433109,10935.5694279227,0.379987033092722
1989,8288.2775475906,1.08894827212608,0.0853672614895392,7013.44520630624,9794.83587383356,0.339731052361687
1990,9720.12069912222,1.08551732929978,0.0821949965219008,8276.08399598884,11416.117387317,0.398421362609335
1991,11281.8043117345,1.07887811415519,0.0760312547625761,9721.96109624532,13091.9170801277,0.462433748068483
1992,14131.3849065393,1.08242346460537,0.0793268483528459,12099.5008940666,16504.4856911987,0.579236184847872
1993,14777.6624539631,1.08605886165451,0.0826962823886632,12569.975784581,17373.0889657836,0.605726676996971
1994,13872.9596876147,1.08922477623576,0.0856225380198351,11733.2990146374,16402.8045525891,0.568643504875715
1995,15873.2608365304,1.09584570115021,0.0917184109457465,13266.5727884829,18992.1250651308,0.650634535033597
1996,16667.2947194016,1.09459318391749,0.09056767247669,13961.4703804196,19897.5255251763,0.683181462316104
1997,15804.2004000271,1.0984247672905,0.0940843367492303,13148.1356290507,18996.8188137903,0.647803793104999
1998,16479.8704219544,1.09228507178366,0.0884441295281551,13861.7038731466,19592.5502095404,0.675499063476987
1999,18281.375865889,1.09640613130936,0.0922329333385509,15263.9264469143,21895.3297968409,0.74934158827047
2000,24835.1369406011,1.09960089647365,0.0951616822038536,20618.03521553,29914.7819086967,1.01797594975927
2001,25446.7779934193,1.098180520132,0.0938604798165229,21179.4044369588,30573.971622941,1.04304671474614
2002,19878.3277168899,1.0993901265915,0.0949686877600065,16509.1128758877,23935.1390829246,0.814799595654548
2003,14071.596371124,1.10032738137752,0.0958266554624978,11667.0726121322,16971.6801304491,0.576785492054446
2004,12361.8528993165,1.11003139657667,0.104673324442461,10074.6064303325,15168.3748800594,0.506704230222842
2005,11391.4565712445,1.11478770016738,0.108985546146045,9206.28273623205,14095.2962810764,0.466928322158608
2006,12473.0169006346,1.10677920957579,0.101715810926396,10223.8284202755,15217.0150170931,0.511260769616664
2007,15235.8948115831,1.10009138298079,0.0956106803813888,12637.7302880395,18368.2105424672,0.624509320337103
2008,20170.1826339345,1.10065320645015,0.0961247706622278,16713.8440087942,24341.2746506556,0.826762536993709
2009,24218.2764071333,1.14219329012764,0.133540022747071,18662.7520507304,31427.5681602572,0.992691241689099
2010,27090.113126193,1.16174695750726,0.150771311427305,20192.7067303848,36343.5293241616,1.11040594238233
2011,30044.493741343,1.17318993897705,0.160750675400608,21968.7558390382,41088.881445419,1.23150406315577
2012,27392.5117336261,1.17637351492745,0.163513822260852,19923.5044095731,37661.5320102175,1.12280106266469
2013,24816.8698692617,1.17844303473124,0.165307002114255,17988.0765776672,34238.0702822056,1.01722719450415
2014,31379.0008054911,1.17874715495727,0.165570313250035,22733.0231305313,43313.2754010444,1.28620463111865
2015,36063.6387083751,1.17161605663436,0.159382537286111,26439.473562355,49191.0715930443,1.47822486156361
2016,44831.7508155468,1.16823407641012,0.156437908953486,33054.4234529785,60805.3528462368,1.837624017334
2017,48374.1707479589,1.171203726787,0.159023877282095,35489.2165080426,65937.223354096,1.9828254834571
2018,45864.0623523276,1.17682500211306,0.163905226197703,33333.4118472853,63105.2178245445,1.87993778913301
2019,33864.0804048017,1.18436938086214,0.170428937147039,24305.6409331933,47181.4730092866,1.38806641152219
