"Year","est","se","CV","lo","hi","est.adj","lo.adj","hi.adj"
1980,72294.0410486507,1.32831190906556,0.289727204619941,41441.8192309875,126114.839264489,79197.7598066101,45399.3053617793,138158.17463291
1981,40633.5298239065,1.28966498447125,0.258553805906733,24680.4906459675,66898.3355977189,44513.8283655058,27037.3538639683,73286.791515288
1982,35625.0853611316,1.29168506135626,0.260197118659802,21572.1240332259,58832.7187917679,39027.102546698,23632.1538112955,64450.9487096549
1983,49157.6761363108,1.29235727004231,0.260743601623834,29736.2006523098,81263.8154879654,53851.9879484221,32575.8588489742,89024.1027701506
1984,25110.6656517418,1.35637077016096,0.312031644367292,13816.6032155134,45636.7979624385,27508.6084278015,15136.0196073296,49994.8835470369
1985,53808.5522342068,1.28640898532071,0.255901718464316,32845.227877105,88151.6275172381,58946.9994147696,35981.7825988423,96569.6663432301
1986,38602.1542600203,1.28113670897639,0.25159842423011,23753.5369012572,62732.818262342,42288.4666115903,26021.8806802795,68723.4881418406
1987,52047.6914848651,1.28446009251054,0.254312298363254,31864.9308869729,85013.9044240383,57017.985285024,34907.8721570207,93132.3064132788
1988,132982.769516681,1.28970331215797,0.258584999927487,80767.9974136153,218953.26805943,145681.957818797,88480.9365535363,239862.208296996
1989,38090.4429101405,1.28750564193769,0.256795436656901,23211.9517560409,62505.8097802174,41727.8893912517,25428.5768668047,68474.8014868884
1990,50565.9506589756,1.28634320068861,0.255848092313701,30869.0083867808,82831.1468255947,55394.7456331491,33816.8440472056,90741.1063988647
1991,35839.9258999621,1.28963195210138,0.258526921161307,21769.9856851279,59003.2674845657,39262.4592807276,23848.9102597521,64637.783948239
1992,45350.3885930781,1.28539063621055,0.255071391342076,27725.2889666626,74179.8488742949,49681.1235176909,30372.9151711541,81263.6528325136
1993,122495.663727218,1.28887002636543,0.257906678174739,74492.8862494064,201431.148495622,134193.385962349,81606.5837087651,220666.81409316
1994,96042.0724279941,1.29175146806038,0.260251112880387,58150.6746903036,158623.777374713,105213.609215213,63703.7728132496,173771.553476801
1995,40065.8519281576,1.28260606313771,0.252798842857575,24598.8853907516,65257.9360905751,43891.9400745362,26947.9557156867,71489.742072911
1996,47457.7367424596,1.28155514604588,0.251940363006559,29184.0659005896,77173.5091466846,51989.7128584265,31970.9979944235,84543.1926639606
1997,34678.728939128,1.28477977555089,0.25457311924023,21220.8538957874,56671.3406887103,37990.3738272334,23247.3391354446,62083.169825334
1998,75238.7859648691,1.29021316564974,0.258999903304611,45661.4065258966,123975.044663963,82423.7131104164,50021.8421050269,135814.040367488
1999,82582.4355258924,1.29464751833044,0.262604182519069,49782.2706409346,136993.72426336,90468.6444159779,54536.2280992865,150075.938650618
2000,32759.8093124198,1.29161829998616,0.260142834338193,19839.1177978839,54095.4047009376,35888.2069891401,21733.6541620975,59261.2448550652
2001,26596.3950243243,1.29647550805293,0.264087777621866,15988.5387910676,44242.2060910965,29136.2175125977,17515.364149882,48467.1151382898
2002,49618.2954337488,1.28807088358687,0.257255894191625,30210.9139694098,81492.90829942,54356.5940812601,33095.9049097469,89275.0727974422
2003,39326.9969795257,1.2846135194851,0.254437480412501,24071.3598470523,64251.1557824189,43082.5281796567,26370.0541252412,70386.819288864
2004,69106.2927987966,1.28696956145319,0.256358618169765,42147.1023930039,113309.799090382,75705.5975681486,46171.9395326017,124130.317269943
2005,66236.8538970154,1.28438616033076,0.254251973284386,40556.4750229192,108178.060635083,72562.1416259073,44429.4152170358,118508.523499975
2006,111375.070112738,1.29048493180597,0.259221016914527,67564.1349871067,183594.53939556,122010.831367098,74016.1714109925,201126.898177816
2007,86174.405887877,1.29423033223968,0.262265414496291,51980.4035874675,142862.073351023,94403.6299532988,56944.2717305086,156504.685678237
2008,99350.1192970887,1.30140540229121,0.268082517625793,59282.1310844202,166499.517203419,108837.557988408,64943.2776248924,182399.387005065
2009,81358.4531178739,1.2806917505426,0.251234735544707,50097.3914237351,132126.597924962,89127.7778196214,54881.4413382242,144744.026129122
2010,50871.2833758835,1.28539355191109,0.255073769290992,31100.3897638455,83210.7729825909,55729.2360949356,34070.3211866583,91156.9849520896
2011,69168.8771611786,1.28729725812689,0.256625651166772,42164.2268414489,113469.021636015,75774.1584236171,46190.6992800871,124304.744771048
2012,51668.4956037024,1.2885210925471,0.25762255385549,31437.6720100243,84918.2928398313,56602.5780968193,34439.8121977076,93027.5644017531
2013,73240.049819617,1.28677277515467,0.256198240879703,44681.6211425771,120051.7071765,80234.1076761049,48948.4921259055,131516.043804214
2014,111832.628160933,1.29140647687733,0.25997058742847,67746.853504618,184606.901640517,122512.083916726,74216.3386315846,202235.935945664
2015,30539.4408337071,1.29025705904253,0.259035617674629,18532.7398411423,50324.8550635248,33455.8044438056,20302.5236548812,55130.6266161184
2016,56354.4412560072,1.29846190975946,0.265698489258222,33776.2144695743,94025.428815818,61736.0080843381,37001.6737470483,103004.386240595
2017,16231.7897955248,1.29812621747865,0.265426392481819,9733.50655068876,27068.4566342086,17781.8444066816,10663.00766558,29653.3586413995
2018,75070.5468543052,1.30582055279651,0.271652371927217,44498.1641137423,126647.629565104,82239.4080075995,48747.5158698582,138741.843738182
2019,44497.0278343366,1.34951458066005,0.306605497957769,24727.9225971475,80070.8380702443,48746.2710814616,27089.3153288722,87717.2019853431
