"","Year","est","se","CV","lo","hi"
"1",1980,71115.4865900868,1.33693196231007,0.296607393032827,40252.6509864397,125641.723191065
"2",1981,40600.0646478234,1.29600440599317,0.263705554225682,24424.2976442268,67488.747206496
"3",1982,35326.1912904212,1.29820374020197,0.265489232658898,21181.1190194997,58917.55718565
"4",1983,49600.9953329011,1.29910027111473,0.26621579742907,29699.8902513424,82837.3006497313
"5",1984,26268.5261587227,1.37099580556453,0.323556738077569,14153.0432841696,48755.2714067733
"6",1985,55957.8397172249,1.29365971579011,0.261801947574308,33782.9569919788,92688.151204825
"7",1986,39202.8046179894,1.288085035833,0.257267421291413,23868.7573476534,64387.9305290831
"8",1987,53145.9487055623,1.29112311204911,0.259740138077613,32209.023334505,87692.5647350638
"9",1988,136524.837550023,1.29792744036551,0.265265252630164,81892.6519658333,227603.219832673
"10",1989,38595.3535769526,1.29407071623104,0.262135783608292,23286.3466010176,63968.8716848737
"11",1990,51664.9745413432,1.29342483598403,0.261611136625607,31202.3640898073,85547.0305607258
"12",1991,36205.7820707315,1.29579290289722,0.263533925874099,21787.741599891,60164.9624557626
"13",1992,46153.0379836318,1.29182139444154,0.260307967041263,27941.3542600925,76234.777143959
"14",1993,122754.922539914,1.29583631335223,0.263569153542298,73866.0173772695,204001.40068222
"15",1994,99211.4203993246,1.29942134458064,0.266475926849789,59376.660957659,165770.620626014
"16",1995,40804.2143244559,1.28974147041046,0.258616055478903,24781.2824472671,67187.1566848529
"17",1996,47308.2158527439,1.28874648031153,0.257806084507013,28774.7959577244,77778.7370050497
"18",1997,34903.1114732525,1.29181765950472,0.26030493037132,21130.6941311148,57652.0195198161
"19",1998,76869.2219753181,1.29719823434356,0.264673988369179,46159.8205303211,128009.104437686
"20",1999,85877.6696729861,1.30159012068586,0.268232017671714,51228.8794657987,143961.262189742
"21",2000,33602.4237069687,1.29799803416418,0.26532248163816,20153.8292746079,56025.2279404419
"22",2001,27288.1168314979,1.30321042540459,0.269542845298743,16238.6229823436,45856.186267711
"23",2002,50850.0803493378,1.29473021342107,0.262671325530253,30649.5632034806,84364.3563325061
"24",2003,39719.0400452898,1.29150932651572,0.260054223223075,24057.5586519485,65576.1527985118
"25",2004,70184.7061925198,1.29418811866724,0.2622311320307,42338.1229019181,116346.513395075
"26",2005,66348.6020875867,1.29135800090532,0.259931166062986,40196.1378974768,109516.41698028
"27",2006,111732.076864509,1.29770453498142,0.265084535135302,67043.6014628443,186208.030715285
"28",2007,87353.783387689,1.30065644364597,0.267476223260811,52182.7714920854,146229.938616822
"29",2008,101365.540959688,1.30833749380484,0.273684184324178,59858.2151372945,171655.183344223
"30",2009,82987.6973412939,1.28462653504927,0.254448099464054,50794.2942620618,135585.266220621
"31",2010,50800.281257167,1.29108917136544,0.259712533372603,30789.0213811047,83817.8175221585
"32",2011,69971.5696486947,1.29183864279027,0.260321990646535,42360.142222097,115580.833827988
"33",2012,52198.2862589721,1.29325051000183,0.261469504421812,31532.779701767,86407.2598148051
"34",2013,72727.904520879,1.29128303060477,0.259870197323669,44065.940456085,120032.570308339
"35",2014,109624.588758314,1.29677313086344,0.264329206751866,65871.6580937907,182438.863817855
"36",2015,30445.15590439,1.29561284781467,0.263387803104908,18326.1303394226,50578.463695016
"37",2016,57866.1685453248,1.30218946278731,0.268717000887798,34487.9572312751,97091.6728892075
"38",2017,16490.8811680317,1.29891989101179,0.266069638710749,9877.03318186242,27533.4866949252
"39",2018,69286.9536227727,1.30105332257202,0.267797529668697,41365.3968199631,116055.503183459
"40",2019,45829.9429276859,1.30297554482917,0.269352887883305,27282.1364818993,76987.5068306499
"41",2020,62731.276491853,1.38873085088859,0.337445851990009,32957.7699234965,119401.678555071
"42",2021,79005.5015188847,1.35818381486644,0.313464020209661,43357.4131980492,143963.13824671
