"Year","SSB","SSB.CV","F","F.CV","Rect","Rect.CV","prev.SSB","prev.SSB.CV","prev.F","prev.F.CV","prev.Rect","prev.Rect.CV"
1980,58387,0.088,0.364,0.144,71622,0.294,57840,0.085,0.366,0.142,72294,0.29
1981,53642,0.09,0.257,0.14,39784,0.262,52807,0.088,0.258,0.138,40634,0.259
1982,42224,0.086,0.452,0.145,34666,0.263,41949,0.083,0.45,0.142,35625,0.26
1983,35567,0.083,0.544,0.162,48946,0.264,35077,0.08,0.546,0.16,49158,0.261
1984,23483,0.078,0.706,0.145,26038,0.32,23410,0.075,0.702,0.143,25111,0.312
1985,17897,0.082,0.789,0.181,56564,0.26,17690,0.079,0.815,0.178,53809,0.256
1986,12545,0.088,0.443,0.142,39291,0.256,12417,0.085,0.447,0.141,38602,0.252
1987,10907,0.083,0.536,0.131,52543,0.258,10852,0.081,0.532,0.128,52048,0.254
1988,9303,0.087,0.523,0.141,135664,0.263,9260,0.084,0.519,0.139,132983,0.259
1989,8326,0.088,0.375,0.155,37955,0.26,8288,0.085,0.367,0.154,38090,0.257
1990,9812,0.085,0.428,0.19,51431,0.26,9728,0.082,0.424,0.192,50566,0.256
1991,11301,0.079,0.411,0.136,35396,0.263,11279,0.076,0.402,0.132,35840,0.259
1992,14204,0.082,0.461,0.131,45920,0.259,14127,0.079,0.458,0.129,45350,0.255
1993,14927,0.085,0.495,0.155,123634,0.263,14772,0.083,0.502,0.152,122496,0.258
1994,13945,0.089,0.581,0.168,99489,0.265,13880,0.086,0.593,0.165,96042,0.26
1995,16107,0.094,0.396,0.188,41205,0.258,15870,0.092,0.404,0.185,40066,0.253
1996,16847,0.093,0.291,0.173,47872,0.257,16649,0.091,0.297,0.174,47458,0.252
1997,15889,0.097,0.35,0.208,35263,0.259,15797,0.094,0.36,0.208,34679,0.255
1998,16614,0.091,0.298,0.167,76480,0.263,16469,0.088,0.3,0.165,75239,0.259
1999,18406,0.095,0.234,0.19,85209,0.267,18259,0.092,0.236,0.188,82582,0.263
2000,25234,0.098,0.195,0.161,33026,0.264,24827,0.095,0.197,0.159,32760,0.26
2001,25951,0.096,0.233,0.169,27152,0.268,25439,0.094,0.24,0.169,26596,0.264
2002,20302,0.097,0.269,0.19,50702,0.261,19868,0.095,0.28,0.19,49618,0.257
2003,14230,0.099,0.247,0.192,40228,0.259,14072,0.096,0.259,0.194,39327,0.254
2004,12566,0.107,0.237,0.214,71220,0.261,12349,0.105,0.247,0.215,69106,0.256
2005,11534,0.112,0.156,0.19,67454,0.259,11388,0.109,0.162,0.191,66237,0.254
2006,12614,0.105,0.16,0.209,113575,0.264,12474,0.102,0.166,0.208,111375,0.259
2007,15232,0.099,0.105,0.217,88329,0.267,15217,0.096,0.107,0.217,86174,0.262
2008,20127,0.099,0.129,0.233,101500,0.272,20174,0.096,0.133,0.231,99350,0.268
2009,23635,0.139,0.121,0.237,81071,0.256,24219,0.134,0.125,0.237,81358,0.251
2010,26295,0.157,0.114,0.263,51084,0.262,27108,0.151,0.12,0.261,50871,0.255
2011,29284,0.167,0.061,0.22,68817,0.261,30058,0.161,0.06,0.218,69169,0.257
2012,26478,0.169,0.065,0.206,50075,0.262,27390,0.164,0.063,0.201,51668,0.258
2013,23844,0.171,0.061,0.217,71522,0.261,24803,0.165,0.059,0.212,73240,0.256
2014,30474,0.171,0.046,0.219,108274,0.265,31363,0.166,0.045,0.214,111833,0.26
2015,35146,0.165,0.045,0.221,29879,0.264,36079,0.159,0.043,0.217,30539,0.259
2016,43867,0.162,0.033,0.228,54799,0.27,44848,0.156,0.032,0.223,56354,0.266
2017,46479,0.165,0.031,0.228,15927,0.268,48389,0.159,0.03,0.223,16232,0.265
2018,43085,0.17,0.029,0.217,65028,0.271,45857,0.164,0.027,0.21,75071,0.272
2019,29540,0.173,0.039,0.213,43527,0.272,33959,0.17,0.034,0.209,44497,0.307
2020,22124,0.187,0.033,0.229,60999,0.337,NA,NA,NA,NA,NA,NA
2021,18809,0.181,0.045,0.235,79235,0.315,NA,NA,NA,NA,NA,NA
