"Year","Parameter","est","lo","hi"
"2022","SSB",21529,14381,32231
"2023","SSB",22536,14241,35663
"2024","SSB",20324,11898,34718
"2025","SSB",18298,10040,33349
"2022","F",0.036,0.023,0.055
"2023","F",0.414,0.357,0.481
"2024","F",0.414,0.357,0.481
"2025","F",0.414,0.357,0.481
"2022","Catch",653,653,653
"2023","Catch",7316,4586,11669
"2024","Catch",6670,3857,11534
"2025","Catch",6105,3242,11494
"2022","Rect",53612,18822,152706
"2023","Rect",53612,18822,152706
"2024","Rect",53612,18822,152706
"2025","Rect",53612,18822,152706
