Year,Landings,Discards,Total
1980,13549,5548,19097
1981,12881,2351,15232
1982,15126,2482,17608
1983,13141,3517,16658
1984,10134,2974,13108
1985,7029,1294,8323
1986,4472,1407,5879
1987,3801,2496,6297
1988,3382,1865,5247
1989,2353,985,3338
1990,2445,1317,3762
1991,4261,1470,5731
1992,6416,786,7202
1993,5720,556,6276
1994,4977,287,5264
1995,4617,801,5418
1996,4363,804,5166
1997,3890,518,4409
1998,3631,495,4126
1999,3108,289,3397
2000,4196,351,4547
2001,4400,413,4814
2002,3399,223,3622
2003,2426,305,2732
2004,1710,246,1956
2005,1337,229,1567
2006,1094,258,1352
2007,988,259,1247
2008,1100,233,1333
2009,1380,426,1806
2010,1404,334,1738
2011,1368,254,1622
2012,1462,302,1765
2013,1297,168,1465
2014,1239,92,1331
2015,1231,86,1317
2016,1009,108,1117
2017,1134,102,1235
2018,1087,109,1196
2019,970,78,1048
2020,594,68,662
2021,632,69,701
